Tellus B: Chemical and Physical Meteorology;Tellus B
Journal of Applied Meteorology and Climatology;J. Appl. Meteorol. Clim.
Tellus A: Dynamic Meteorology and Oceanography;Tellus A
Journal of Geophysical Research: Atmospheres;J. Geophys. Res. Atmos.
Journal of Climate and Applied Meteorology;J. Climate Appl. Meteor.
Journal of Geophysical Research: Oceans;J. Geophys. Res. Oceans
Eos, Transactions American Geophysical Union;Eos Trans. AGU
Current Climate Change Reports;Curr Clim Change Rep
AIP Conference Proceedings;AIP Conference Proc.
Proceedings of the National Academy of Sciences;Proc. Natl. Acad. Sci. U.S.A.
